,BersaljuBesok,SuhuMin,SuhuMax,Suhu9am,Suhu3pm,Penguapan,SinarMatahari,Awan9am,Awan3pm,Kelembaban9am,Kelembaban3pm
59312,0,23.7,32.6,29.6,30.4,9.4,12.0,6.0,1.0,59.0,65.0
59313,0,4.8,16.7,11.5,15.3,3.0,11.9,1.0,1.0,55.0,44.0
59314,0,11.1,21.2,13.5,20.0,4.8,3.6,7.0,7.0,58.0,30.0
59315,0,9.3,12.3,9.9,11.7,2.4,1.9,8.0,7.0,84.0,66.0
59319,0,11.4,21.1,14.0,20.8,4.8,6.1,7.0,6.0,54.0,29.0
59320,0,3.9,16.9,9.1,15.4,1.8,6.6,1.0,7.0,57.0,35.0
59327,0,22.3,35.6,28.4,34.7,9.2,12.8,0.0,0.0,53.0,32.0
59328,0,21.5,27.0,25.1,25.6,4.6,7.5,4.0,8.0,66.0,64.0
59330,0,10.2,22.6,13.7,21.0,9.8,12.1,0.0,0.0,43.0,20.0
59332,1,7.9,15.4,9.6,14.2,2.8,4.0,7.0,2.0,60.0,31.0
59336,0,12.4,24.0,16.1,23.3,5.0,6.6,6.0,1.0,80.0,47.0
59340,0,14.9,28.1,19.9,26.1,1.2,10.7,1.0,3.0,64.0,41.0
59341,0,-2.1,13.1,5.4,12.5,2.8,9.2,1.0,1.0,80.0,47.0
59342,1,4.0,16.1,9.0,15.6,1.8,4.2,6.0,7.0,77.0,66.0
59344,0,14.8,26.5,20.8,26.2,5.4,8.8,6.0,6.0,65.0,51.0
59346,0,15.6,31.8,22.5,29.1,7.6,12.7,2.0,6.0,49.0,26.0
59348,0,24.7,30.2,28.3,29.6,4.8,6.2,6.0,7.0,78.0,70.0
59352,0,9.8,17.2,13.8,15.2,3.2,9.7,3.0,3.0,78.0,56.0
59353,1,7.3,15.2,11.3,14.3,1.6,6.3,5.0,6.0,63.0,50.0
59358,0,18.9,27.6,23.7,26.9,4.2,12.4,1.0,1.0,56.0,33.0
59360,0,10.3,24.3,17.8,23.9,4.2,9.6,5.0,6.0,73.0,38.0
59371,1,5.6,13.4,8.9,12.9,1.8,10.1,4.0,8.0,69.0,72.0
59377,0,9.3,19.2,11.2,18.0,2.4,6.6,7.0,2.0,79.0,54.0
59378,0,16.3,29.6,22.4,28.9,4.8,10.1,2.0,2.0,43.0,28.0
59380,0,21.8,30.5,24.3,29.5,7.6,8.0,7.0,6.0,73.0,56.0
59382,0,8.9,14.9,10.4,13.5,3.4,7.5,7.0,5.0,90.0,40.0
59384,0,14.0,28.3,24.0,24.6,8.8,13.3,0.0,0.0,50.0,52.0
59385,0,8.5,20.8,15.3,19.5,3.4,12.2,1.0,1.0,43.0,40.0
59389,0,21.4,25.9,23.7,24.5,5.6,0.4,7.0,7.0,68.0,63.0
59391,0,12.5,31.3,21.7,27.4,5.6,10.9,1.0,0.0,60.0,37.0
59393,0,17.9,26.8,22.5,24.3,2.4,5.7,7.0,7.0,79.0,68.0
59395,0,12.9,20.2,15.0,19.9,4.6,4.8,7.0,2.0,52.0,48.0
59397,0,21.7,27.1,24.5,26.3,0.0,9.1,6.0,3.0,89.0,71.0
59400,0,12.0,26.6,17.7,24.7,1.8,13.6,3.0,4.0,77.0,48.0
59404,1,8.2,14.4,11.3,13.4,3.0,2.4,8.0,4.0,73.0,58.0
59405,0,13.0,32.4,22.1,30.6,3.6,10.7,2.0,5.0,44.0,25.0
59406,0,20.2,33.3,25.8,32.0,11.8,5.2,7.0,7.0,53.0,29.0
59407,0,11.0,25.6,21.2,24.9,4.6,9.7,1.0,1.0,69.0,55.0
59417,0,22.6,31.7,28.8,30.4,6.6,8.7,6.0,5.0,66.0,57.0
59419,0,0.1,15.1,6.3,14.5,1.4,7.8,5.0,7.0,78.0,49.0
59420,1,16.4,28.0,26.1,16.4,5.0,1.7,8.0,8.0,39.0,96.0
59421,0,5.2,14.2,7.9,13.6,4.0,7.1,1.0,1.0,81.0,43.0
59422,0,11.7,15.6,13.1,15.3,4.6,9.5,8.0,8.0,82.0,73.0
59423,1,26.5,33.3,30.6,32.2,7.6,6.9,5.0,4.0,70.0,64.0
59424,0,12.1,16.7,14.1,15.5,3.2,3.2,7.0,7.0,92.0,67.0
59429,0,14.2,19.5,14.9,19.0,3.4,3.5,7.0,7.0,58.0,49.0
59430,1,17.9,26.2,22.5,21.5,8.8,5.0,7.0,8.0,60.0,69.0
59431,0,12.3,18.4,14.1,17.6,2.2,6.4,6.0,6.0,80.0,59.0
59435,0,-0.1,10.2,7.1,9.7,1.0,6.2,1.0,7.0,68.0,52.0
59437,1,8.6,15.8,12.1,9.7,4.4,4.9,7.0,7.0,58.0,82.0
59442,0,5.0,12.7,7.7,11.4,2.0,6.9,4.0,6.0,71.0,52.0
59443,0,21.2,32.2,22.5,31.6,11.2,4.0,7.0,6.0,66.0,36.0
59446,0,12.0,22.7,13.3,21.5,4.0,9.4,7.0,1.0,72.0,27.0
59451,0,15.0,21.5,18.8,20.7,2.0,8.8,5.0,7.0,80.0,70.0
59452,0,0.6,16.3,5.9,15.7,1.0,9.7,3.0,2.0,88.0,60.0
59453,0,16.5,22.1,18.3,20.5,6.8,0.1,8.0,8.0,94.0,81.0
59457,0,12.5,35.3,22.8,33.7,7.0,11.5,4.0,3.0,24.0,9.0
59458,0,8.8,22.5,12.8,20.9,4.6,5.9,6.0,7.0,70.0,45.0
59462,0,23.9,34.6,28.9,32.2,10.0,11.6,1.0,1.0,61.0,40.0
59463,0,18.8,26.7,20.3,24.5,3.2,8.4,7.0,5.0,63.0,48.0
59464,1,25.2,32.3,31.2,30.7,4.0,6.4,5.0,7.0,62.0,66.0
59466,0,23.9,33.8,28.7,31.9,7.0,10.5,5.0,7.0,67.0,52.0
59467,0,11.1,25.7,16.3,23.8,11.6,10.8,2.0,7.0,41.0,23.0
59468,0,16.6,36.6,24.4,35.0,10.4,13.4,3.0,2.0,28.0,10.0
59470,0,8.3,27.1,17.0,25.9,6.4,11.7,5.0,1.0,67.0,42.0
59471,1,21.4,24.5,23.9,23.2,4.8,0.0,8.0,8.0,58.0,76.0
59473,0,10.9,21.3,15.0,20.6,7.0,10.5,2.0,1.0,62.0,43.0
59475,0,7.1,15.7,12.6,15.0,1.6,7.1,7.0,7.0,80.0,68.0
59477,1,3.5,16.1,8.8,15.8,2.2,9.2,1.0,1.0,68.0,47.0
59479,0,14.3,20.7,16.8,20.0,0.6,7.0,5.0,6.0,81.0,70.0
59480,0,11.3,25.6,19.8,24.1,8.0,10.3,3.0,1.0,53.0,43.0
59482,0,20.5,31.9,25.9,29.2,6.2,10.0,3.0,5.0,58.0,52.0
59483,0,18.8,28.0,23.3,26.2,4.8,10.7,1.0,5.0,72.0,60.0
59486,0,12.1,25.7,16.6,23.7,8.4,10.7,7.0,6.0,59.0,28.0
59491,0,21.1,30.3,27.5,28.9,9.8,10.6,2.0,1.0,53.0,43.0
59492,0,10.4,20.9,13.8,18.7,4.0,8.9,6.0,6.0,65.0,51.0
59494,0,12.0,27.3,15.8,26.0,6.6,10.1,8.0,0.0,81.0,46.0
59495,0,16.0,33.7,19.5,31.7,6.4,10.9,1.0,3.0,70.0,28.0
59498,1,21.7,27.2,25.4,26.0,3.4,0.0,8.0,7.0,76.0,68.0
59500,1,19.7,24.9,22.9,23.7,7.0,11.9,2.0,3.0,73.0,74.0
59502,0,9.9,20.7,16.2,20.2,2.2,5.5,6.0,2.0,43.0,32.0
59504,0,8.0,19.9,13.5,19.7,7.6,10.0,0.0,1.0,43.0,28.0
59507,0,9.1,17.7,12.6,15.7,1.6,9.5,8.0,5.0,84.0,49.0
59508,0,11.7,23.7,16.6,22.8,5.4,9.5,1.0,1.0,61.0,30.0
59510,0,15.7,28.4,19.6,27.9,6.0,7.8,1.0,6.0,51.0,34.0
59511,1,8.3,14.7,10.4,13.4,2.2,3.3,8.0,7.0,96.0,87.0
59512,0,12.5,31.7,17.2,30.1,6.6,11.2,1.0,1.0,74.0,28.0
59517,0,7.0,19.1,12.5,16.8,4.6,7.5,3.0,7.0,67.0,42.0
59519,0,16.8,25.1,21.6,23.8,5.0,10.8,7.0,3.0,68.0,52.0
59525,0,20.7,34.5,25.9,33.7,7.4,11.7,3.0,7.0,57.0,41.0
59526,0,6.0,10.6,7.6,7.8,3.4,5.9,3.0,7.0,61.0,70.0
59533,0,11.9,21.6,14.1,18.5,3.4,9.3,7.0,1.0,81.0,62.0
59534,0,12.8,24.7,19.6,23.2,4.2,10.1,1.0,1.0,66.0,50.0
59536,0,16.0,26.1,18.1,23.9,10.2,9.9,7.0,7.0,67.0,17.0
59539,0,11.8,29.3,24.3,26.5,4.0,13.4,0.0,1.0,47.0,44.0
59543,0,16.0,26.2,19.1,23.1,8.0,10.2,1.0,2.0,49.0,41.0
59546,0,21.6,37.0,29.5,35.6,10.8,11.5,4.0,5.0,30.0,11.0
59550,1,23.9,30.3,26.7,29.0,12.8,0.8,7.0,7.0,88.0,75.0
59556,0,10.2,16.6,13.4,15.3,1.2,8.1,7.0,7.0,58.0,34.0
59560,0,5.8,22.1,14.3,21.0,8.8,12.5,2.0,2.0,59.0,43.0
59565,1,13.9,15.9,15.1,15.3,0.6,0.1,8.0,7.0,89.0,88.0
59566,0,4.5,28.3,18.4,27.6,5.8,11.3,0.0,0.0,25.0,7.0
59567,1,13.9,22.4,19.1,16.9,3.4,2.5,7.0,8.0,77.0,87.0
59568,0,22.8,34.5,31.0,34.1,8.6,11.4,6.0,2.0,68.0,56.0
59571,0,7.7,18.3,11.6,15.3,1.6,10.2,0.0,1.0,59.0,51.0
59574,0,6.5,13.4,9.8,12.4,1.0,6.8,7.0,4.0,80.0,62.0
59575,0,17.8,28.4,25.8,27.2,8.0,13.0,2.0,2.0,53.0,45.0
59576,0,24.2,31.4,28.6,29.1,11.2,11.2,7.0,4.0,58.0,55.0
59577,0,0.5,12.9,4.6,12.5,1.2,3.1,8.0,8.0,99.0,66.0
59581,0,6.7,25.8,14.5,25.3,7.4,9.6,0.0,0.0,66.0,11.0
59582,0,10.5,28.0,15.4,27.4,5.4,10.1,1.0,2.0,65.0,32.0
59587,0,8.6,14.9,9.8,13.6,1.2,4.3,8.0,6.0,99.0,74.0
59588,0,9.3,22.8,14.6,21.7,4.0,9.9,5.0,1.0,48.0,22.0
59592,0,8.1,15.2,9.6,14.2,1.8,5.3,5.0,7.0,92.0,72.0
59593,0,10.0,18.8,13.3,18.8,4.0,0.0,8.0,8.0,54.0,37.0
59595,0,8.4,17.0,12.4,16.6,3.2,7.4,7.0,5.0,59.0,51.0
59597,0,19.9,29.2,25.7,26.8,8.2,10.0,6.0,1.0,52.0,54.0
59603,0,7.2,15.9,10.9,14.6,1.2,3.2,4.0,7.0,74.0,65.0
59611,0,8.4,23.9,17.9,21.8,7.0,12.5,2.0,1.0,57.0,50.0
59616,0,9.2,27.0,17.1,26.3,7.0,10.4,6.0,1.0,35.0,22.0
59625,1,2.7,10.9,6.6,9.9,1.6,8.4,2.0,5.0,51.0,45.0
59626,0,9.9,15.9,12.0,15.3,1.0,3.9,7.0,5.0,87.0,62.0
59627,1,12.3,22.6,15.7,18.5,7.2,11.3,6.0,5.0,62.0,61.0
59628,1,19.5,23.9,20.2,23.4,7.0,4.5,7.0,6.0,92.0,71.0
59630,0,18.4,32.5,22.1,26.4,7.6,9.1,7.0,3.0,72.0,59.0
59633,0,16.6,27.4,23.3,26.9,3.0,12.2,1.0,2.0,57.0,41.0
59638,0,14.2,19.7,18.0,19.1,5.8,9.0,1.0,1.0,35.0,37.0
59642,1,10.6,14.4,12.0,13.5,0.4,4.0,8.0,7.0,99.0,94.0
59643,0,19.2,27.3,24.5,25.4,6.0,10.8,1.0,1.0,58.0,52.0
59645,0,4.0,21.4,14.9,21.2,4.4,11.3,0.0,1.0,56.0,31.0
59651,0,8.8,21.6,15.5,20.9,5.4,6.8,7.0,5.0,72.0,48.0
59653,0,11.8,20.0,15.3,19.7,1.4,9.4,5.0,1.0,65.0,33.0
59656,0,10.2,27.7,17.3,26.7,2.8,9.2,3.0,5.0,60.0,28.0
59657,0,19.8,27.6,24.0,26.8,4.0,9.1,3.0,5.0,84.0,65.0
59658,1,0.9,11.3,4.4,10.4,1.4,1.5,7.0,7.0,93.0,69.0
59659,0,25.0,32.3,29.1,31.7,4.2,7.3,6.0,7.0,80.0,65.0
59664,0,8.4,17.7,11.7,14.2,2.8,9.6,1.0,1.0,63.0,57.0
59665,0,18.8,27.4,25.4,22.3,6.4,6.4,5.0,6.0,53.0,67.0
59666,1,14.1,17.1,15.0,16.9,10.0,0.0,7.0,7.0,83.0,82.0
59667,0,15.7,25.8,23.2,24.7,6.4,11.6,6.0,1.0,57.0,47.0
59669,0,1.9,14.2,6.5,13.6,3.0,1.2,7.0,8.0,69.0,43.0
59673,0,13.2,33.1,20.2,30.7,9.8,11.8,0.0,0.0,45.0,10.0
59677,1,8.6,14.6,10.7,13.9,0.8,6.9,5.0,6.0,96.0,71.0
59678,1,5.7,12.7,11.2,11.5,2.6,4.0,5.0,5.0,67.0,63.0
59680,0,17.7,30.2,19.8,28.9,6.6,3.8,7.0,7.0,62.0,29.0
59681,0,21.5,25.5,23.2,24.5,5.2,4.8,7.0,7.0,95.0,88.0
59684,0,6.8,19.8,12.4,19.4,4.0,8.8,1.0,7.0,75.0,43.0
59685,1,10.6,17.5,13.4,16.7,3.4,1.8,7.0,6.0,80.0,60.0
59693,0,16.8,34.1,24.1,33.2,8.0,10.9,1.0,6.0,74.0,43.0
59694,0,21.8,30.9,26.5,29.0,9.0,9.8,3.0,1.0,65.0,55.0
59696,1,12.8,25.6,15.6,23.9,5.2,3.7,7.0,7.0,60.0,33.0
59697,0,14.7,26.7,19.9,23.1,4.4,8.1,3.0,5.0,75.0,52.0
59698,0,19.0,35.3,23.7,31.8,7.2,12.8,1.0,1.0,66.0,41.0
59700,0,24.5,33.3,31.4,30.6,5.0,9.4,0.0,3.0,66.0,75.0
59701,0,9.2,17.9,11.5,16.2,2.2,6.3,2.0,6.0,93.0,49.0
59703,1,22.6,34.3,27.2,26.3,9.2,5.4,3.0,7.0,66.0,77.0
59706,0,19.0,29.7,26.1,27.9,6.6,10.1,1.0,3.0,60.0,59.0
59707,1,7.1,15.0,10.8,13.4,2.0,2.7,7.0,7.0,73.0,53.0
59713,1,5.4,19.8,9.6,18.5,1.6,2.6,7.0,7.0,72.0,34.0
59718,1,12.0,21.3,15.9,18.9,5.2,7.5,8.0,8.0,72.0,69.0
59721,0,7.2,23.0,12.6,21.2,5.0,10.2,0.0,1.0,57.0,25.0
59723,0,9.9,21.7,15.2,19.9,4.0,9.6,1.0,2.0,46.0,34.0
59724,0,23.1,31.5,26.1,30.1,4.6,9.0,3.0,6.0,69.0,54.0
59726,1,24.2,30.9,26.7,28.9,8.2,4.9,6.0,6.0,83.0,62.0
59729,0,28.2,36.6,30.5,35.4,8.0,12.0,3.0,1.0,64.0,31.0
59732,1,13.6,17.5,14.8,15.5,0.6,5.5,7.0,6.0,88.0,70.0
59738,1,14.3,23.7,17.9,22.9,8.4,0.6,7.0,7.0,41.0,32.0
59739,1,19.1,26.9,23.3,24.3,5.2,0.8,7.0,8.0,71.0,68.0
59740,0,9.3,23.0,15.4,21.6,2.8,10.0,1.0,1.0,72.0,55.0
59751,0,11.7,19.2,16.3,17.5,5.2,6.7,7.0,8.0,55.0,74.0
59754,0,13.8,30.4,19.1,28.3,7.2,13.0,1.0,2.0,53.0,20.0
59755,0,13.1,19.1,16.8,17.7,5.0,7.5,4.0,6.0,73.0,67.0
59762,0,17.5,26.2,19.8,25.5,6.6,0.0,7.0,7.0,34.0,24.0
59769,0,11.7,14.7,12.2,13.2,1.4,2.6,7.0,3.0,81.0,73.0
59771,0,-1.5,16.1,2.6,15.9,0.8,8.7,2.0,0.0,96.0,46.0
59773,0,18.0,31.6,22.8,30.0,8.0,11.3,0.0,0.0,33.0,12.0
59775,0,12.1,19.3,13.4,18.1,4.0,8.8,8.0,8.0,96.0,78.0
59777,0,22.7,34.4,27.0,33.3,7.2,13.1,2.0,5.0,69.0,46.0
59784,1,15.5,26.3,19.2,24.7,7.2,5.4,8.0,3.0,90.0,69.0
59794,0,16.2,26.1,18.3,25.6,4.8,7.2,6.0,1.0,80.0,54.0
59795,0,19.9,36.0,24.6,33.3,1.6,8.8,7.0,5.0,61.0,36.0
59796,1,24.2,36.0,31.6,34.2,6.6,7.7,6.0,6.0,65.0,49.0
59798,0,16.0,28.0,20.9,26.3,5.2,10.1,1.0,1.0,69.0,51.0
59801,1,9.0,19.8,14.9,18.7,1.6,7.1,6.0,5.0,75.0,52.0
59803,0,17.6,32.3,24.4,29.6,4.4,10.1,7.0,7.0,68.0,44.0
59804,0,11.3,21.6,14.6,17.3,5.0,6.8,6.0,7.0,52.0,41.0
59805,0,22.0,31.3,25.7,30.5,7.0,10.9,2.0,5.0,55.0,38.0
59817,0,9.6,27.3,20.0,25.8,7.0,13.5,1.0,3.0,55.0,31.0
59818,1,9.7,14.8,11.3,13.8,1.6,5.9,7.0,6.0,90.0,78.0
59821,0,14.9,24.9,18.4,23.1,5.0,9.8,4.0,4.0,68.0,49.0
59823,0,10.5,20.3,16.8,19.7,0.4,6.9,5.0,7.0,81.0,67.0
59824,0,22.7,26.6,24.6,24.9,6.8,0.0,7.0,8.0,70.0,70.0
59825,0,19.4,26.9,20.1,24.5,7.2,0.3,7.0,8.0,75.0,57.0
59827,0,6.4,21.6,15.3,20.8,5.2,9.9,7.0,6.0,52.0,41.0
59829,0,22.8,38.4,29.1,35.8,11.6,12.8,2.0,0.0,43.0,26.0
59830,0,21.7,31.6,27.9,29.4,5.4,8.1,3.0,5.0,63.0,50.0
59833,0,25.7,33.7,30.6,33.0,8.4,10.0,4.0,3.0,62.0,55.0
59834,0,11.2,27.8,18.7,24.0,5.8,11.3,1.0,7.0,53.0,40.0
59835,0,19.6,29.9,25.3,28.0,9.0,9.2,7.0,7.0,56.0,56.0
59836,1,13.2,17.6,14.9,17.1,5.8,3.0,6.0,7.0,49.0,42.0
59839,0,3.8,13.8,8.7,12.6,2.0,7.2,3.0,6.0,70.0,50.0
59842,1,6.6,21.9,13.2,19.3,2.4,9.0,2.0,5.0,61.0,55.0
59843,1,19.4,25.0,22.1,23.7,7.8,6.0,7.0,7.0,57.0,56.0
59852,0,-0.2,18.8,8.6,18.1,3.4,10.6,0.0,1.0,59.0,25.0
59853,0,25.4,31.7,28.9,30.1,8.6,5.5,7.0,7.0,71.0,66.0
59856,0,6.8,22.9,15.4,22.4,3.2,9.8,0.0,0.0,55.0,25.0
59857,0,12.9,20.0,15.0,19.1,1.8,1.4,6.0,7.0,82.0,56.0
59858,1,23.5,29.5,24.1,24.4,4.2,0.9,7.0,8.0,96.0,95.0
59865,0,8.3,18.9,12.5,17.3,3.6,10.0,0.0,1.0,53.0,38.0
59866,0,6.7,19.8,10.3,17.4,2.4,0.0,7.0,7.0,85.0,64.0
59867,0,20.9,24.7,22.5,23.2,6.0,0.9,8.0,7.0,85.0,79.0
59868,0,8.7,24.1,10.7,21.5,3.2,10.9,2.0,1.0,90.0,37.0
59870,0,22.2,30.7,27.7,29.3,6.8,11.0,2.0,2.0,68.0,63.0
59871,0,7.7,21.1,13.5,19.3,5.0,2.1,7.0,7.0,63.0,46.0
59872,1,12.4,13.3,12.8,12.5,3.4,0.0,8.0,8.0,88.0,70.0
59875,0,13.1,20.2,16.1,18.9,2.0,8.3,5.0,2.0,69.0,99.0
59882,1,24.9,35.0,30.7,34.1,7.0,11.0,3.0,6.0,64.0,46.0
59884,0,10.9,27.1,16.1,26.5,3.6,10.6,1.0,1.0,82.0,40.0
59888,0,20.4,33.0,24.4,32.3,7.4,11.1,3.0,6.0,46.0,22.0
59890,0,15.0,22.1,20.5,20.4,7.0,11.6,5.0,1.0,53.0,58.0
59892,0,11.1,28.9,18.0,27.0,9.4,13.2,5.0,1.0,69.0,37.0
59894,0,21.5,31.9,25.5,30.6,8.0,11.1,4.0,1.0,66.0,54.0
59896,0,10.3,24.3,16.9,23.1,10.6,13.3,5.0,1.0,57.0,45.0
59897,0,6.8,20.4,12.4,19.6,3.4,9.2,1.0,2.0,51.0,33.0
59899,0,19.8,33.8,26.4,32.6,8.0,8.2,7.0,7.0,28.0,13.0
59901,0,7.3,18.4,11.3,16.8,4.8,11.6,5.0,2.0,64.0,39.0
59906,1,23.9,30.1,26.6,23.9,8.4,3.9,6.0,8.0,80.0,89.0
59907,0,21.6,31.1,27.0,30.1,7.0,11.2,6.0,6.0,66.0,47.0
59914,0,4.6,18.1,9.4,17.7,2.2,8.8,7.0,3.0,72.0,43.0
59922,0,4.5,11.6,7.5,11.1,0.6,4.3,1.0,7.0,80.0,55.0
59924,0,6.4,18.7,9.8,17.9,1.4,8.4,7.0,7.0,99.0,52.0
59937,0,6.0,13.0,8.5,11.4,0.6,5.8,7.0,6.0,81.0,62.0
59948,0,8.1,17.3,8.9,16.5,0.8,6.7,8.0,1.0,100.0,58.0
59949,1,17.4,21.4,18.2,20.4,11.4,1.0,8.0,8.0,90.0,71.0
59951,1,6.3,11.6,8.5,8.3,1.6,4.5,8.0,8.0,97.0,85.0
59952,0,9.9,15.9,11.3,14.3,2.2,0.2,8.0,8.0,74.0,54.0
59953,1,15.6,20.6,17.5,20.3,2.6,4.3,4.0,6.0,64.0,58.0
59954,0,15.6,29.5,20.4,28.8,4.6,6.7,6.0,5.0,45.0,24.0
59956,0,12.9,35.0,20.6,31.9,10.2,13.7,1.0,1.0,31.0,13.0
59957,0,18.7,31.5,25.6,29.1,10.4,13.1,1.0,1.0,55.0,50.0
59960,0,12.4,21.2,15.4,18.8,7.0,6.9,5.0,7.0,65.0,35.0
59961,0,15.3,18.4,17.2,16.9,6.2,8.2,4.0,3.0,59.0,60.0
59962,0,20.2,30.4,26.1,28.7,5.6,10.5,4.0,4.0,65.0,54.0
59966,0,16.5,34.6,22.9,32.6,9.6,13.3,1.0,0.0,47.0,21.0
59968,0,4.1,14.4,8.4,14.0,3.2,9.5,0.0,2.0,78.0,44.0
59975,0,11.4,29.1,20.6,29.0,5.8,11.4,0.0,1.0,47.0,27.0
59976,0,-1.4,12.9,5.9,12.4,2.0,9.5,0.0,0.0,76.0,29.0
59982,0,3.3,13.7,8.3,12.4,0.4,8.4,3.0,5.0,94.0,74.0
59986,1,20.4,27.6,25.4,25.3,4.8,3.1,2.0,7.0,64.0,72.0
59987,0,22.9,30.3,27.9,29.1,7.6,9.1,6.0,3.0,61.0,47.0
59994,1,10.1,17.7,13.7,16.2,2.0,1.1,7.0,8.0,84.0,78.0
59997,0,20.1,34.6,25.8,33.1,10.0,10.9,1.0,6.0,61.0,38.0
59998,0,4.8,16.3,9.2,15.1,1.4,3.5,6.0,6.0,96.0,76.0
60003,0,7.9,17.2,11.5,13.6,3.6,6.4,2.0,4.0,80.0,51.0
60006,0,3.0,17.0,7.5,16.9,1.4,9.6,0.0,1.0,73.0,53.0
60007,0,19.9,33.2,24.1,31.9,9.0,12.5,6.0,1.0,38.0,20.0
60016,0,21.0,32.0,24.7,31.3,8.0,10.6,1.0,1.0,64.0,27.0
60019,0,13.2,26.5,23.1,24.5,5.4,9.7,1.0,2.0,66.0,54.0
60021,1,24.4,31.0,25.2,29.6,7.0,0.0,8.0,8.0,96.0,71.0
60023,1,12.2,17.6,14.2,15.3,0.2,2.6,7.0,6.0,68.0,89.0
60024,0,13.1,22.6,15.1,22.6,4.0,1.4,7.0,7.0,68.0,38.0
60026,1,9.3,25.4,16.2,23.9,5.4,9.8,0.0,1.0,45.0,17.0
60028,0,9.4,26.3,16.7,25.3,4.8,12.2,4.0,4.0,50.0,28.0
60029,0,20.7,35.7,27.0,33.5,3.2,13.4,0.0,1.0,35.0,23.0
60030,0,9.3,25.8,17.5,24.8,6.4,12.5,0.0,2.0,70.0,41.0
60031,1,18.7,21.0,19.3,20.1,1.8,0.0,8.0,8.0,88.0,77.0
60035,0,10.1,25.9,15.0,23.6,8.6,12.7,3.0,3.0,56.0,55.0
60037,0,26.2,36.1,31.2,34.2,7.6,11.5,3.0,1.0,75.0,64.0
60040,0,18.4,24.8,22.2,23.5,5.4,6.5,7.0,7.0,75.0,73.0
60049,0,13.9,16.6,15.2,15.3,3.6,1.3,7.0,7.0,72.0,74.0
60050,0,14.5,29.7,20.8,28.5,8.0,8.7,3.0,5.0,87.0,48.0
60051,0,10.2,20.6,13.2,20.1,3.4,8.6,1.0,5.0,76.0,44.0
60052,0,22.8,29.6,23.6,24.0,4.8,4.3,8.0,7.0,74.0,72.0
60053,0,20.7,32.4,22.1,30.9,8.6,10.0,4.0,3.0,57.0,29.0
60058,0,19.3,29.5,28.3,28.7,11.0,9.0,6.0,3.0,51.0,54.0
60059,0,14.7,26.2,21.4,24.5,4.6,10.5,1.0,3.0,74.0,63.0
60060,0,14.2,26.1,17.1,24.5,9.6,11.7,7.0,3.0,64.0,32.0
60065,0,13.5,23.2,21.7,17.8,8.2,5.2,5.0,7.0,46.0,63.0
60067,0,15.6,33.2,18.7,31.0,9.4,13.0,0.0,0.0,47.0,24.0
60068,1,12.0,19.5,13.0,17.7,5.8,3.7,7.0,7.0,92.0,64.0
60069,0,23.7,28.3,25.6,27.8,4.6,4.9,7.0,3.0,78.0,44.0
60071,1,12.4,30.0,17.0,28.2,3.6,7.3,8.0,5.0,74.0,36.0
60072,0,1.4,19.0,6.5,18.3,1.2,8.0,7.0,1.0,83.0,50.0
60075,1,19.6,23.5,19.8,19.9,10.0,0.3,7.0,8.0,89.0,76.0
60076,0,18.1,27.5,22.5,24.5,2.8,9.4,2.0,4.0,71.0,60.0
60077,1,14.1,24.0,16.7,20.9,7.8,1.6,8.0,8.0,85.0,72.0
60078,0,19.3,32.0,22.0,30.8,8.6,11.1,3.0,1.0,29.0,16.0
60079,0,11.3,24.3,18.8,23.2,7.0,5.7,7.0,7.0,57.0,52.0
60082,0,11.3,23.4,17.0,21.9,2.8,10.3,1.0,3.0,73.0,49.0
60085,0,1.8,23.4,11.8,22.7,2.0,10.9,0.0,2.0,61.0,21.0
60086,0,11.8,18.4,13.9,16.3,3.6,3.5,8.0,8.0,79.0,70.0
60088,0,10.9,16.7,13.0,15.2,4.0,10.5,2.0,4.0,51.0,52.0
60093,0,22.3,26.4,23.9,25.0,11.2,11.8,7.0,1.0,67.0,56.0
60097,0,17.0,21.8,17.7,20.6,10.8,0.7,8.0,7.0,74.0,67.0
60099,1,21.1,31.0,26.3,29.7,5.6,8.6,3.0,5.0,66.0,54.0
60103,0,21.6,35.2,26.6,33.8,10.4,13.2,1.0,2.0,42.0,23.0
60104,0,15.2,22.7,15.3,18.7,10.0,3.3,8.0,7.0,88.0,69.0
60106,0,18.5,23.0,20.6,20.1,11.0,5.9,5.0,6.0,63.0,58.0
60108,0,20.3,26.8,22.4,26.2,7.8,6.1,4.0,4.0,67.0,57.0
60120,0,20.5,34.4,22.1,31.9,5.2,8.3,7.0,3.0,79.0,35.0
60121,0,23.1,32.5,29.2,30.8,10.4,13.1,1.0,1.0,56.0,60.0
60134,0,14.8,31.7,21.2,27.8,4.0,8.3,1.0,6.0,58.0,45.0
60135,0,3.2,16.6,9.8,15.8,3.6,9.2,2.0,3.0,88.0,47.0
60139,0,21.1,30.7,27.0,27.9,8.8,10.8,1.0,4.0,62.0,58.0
60143,1,6.9,31.3,13.7,31.0,4.8,11.6,1.0,1.0,82.0,17.0
60144,0,5.1,18.6,10.8,16.9,2.6,8.4,5.0,4.0,50.0,47.0
60145,0,8.6,15.1,12.5,13.2,5.0,9.1,5.0,5.0,56.0,43.0
60148,0,4.0,18.2,9.3,17.7,3.0,7.3,7.0,3.0,84.0,52.0
60149,0,2.5,18.4,9.9,17.4,1.0,9.4,1.0,3.0,80.0,37.0
